track_id,hit_id
61,"[2586, 1689, 2666, 1763, 2750, 1831, 1908, 21744, 20152, 21832, 20216, 21910, 21996, 52638, 62601, 81084, 93060, 92948, 245756, 250092]"
62,"[1701, 1770, 1833, 1906, 1907, 20197, 20258, 20329, 20425, 62610, 62088, 62151, 62219, 80899, 80687, 80942, 92856]"
63,"[102282, 1703, 1773, 1838, 1911, 20268, 20351, 52519, 62063, 62109, 80665, 80700, 92840, 250178]"
64,"[103006, 2614, 1713, 2683, 1779, 1845, 21740, 20148, 21824, 21903, 21988, 52629, 62593, 62629, 81070, 81108, 93077]"
65,"[103019, 2630, 1717, 2697, 1783, 2774, 1846, 21739, 21823, 21900, 21984, 22073]"
66,"[103029, 103028, 2641, 1735, 21647, 21703, 21772, 21861, 52734, 52604, 52796, 81060, 93045, 93172, 242154, 245656, 249991]"
67,"[1741, 1813, 1893, 1974, 20201, 20266, 20344, 20442, 52520, 62067, 62112, 80884, 80918, 92958, 245747, 250073]"
68,"[1746, 1812]"
69,"[2712, 1792, 2800, 1870, 2869, 1954, 2930, 21873, 21957, 22048, 22137, 63091, 63147, 63194, 81296, 81124, 93218]"
70,"[1796, 2799, 1873, 2873, 1958, 2932, 2037]"
71,"[2723, 1801, 2805, 1872, 2870, 2928, 21944, 22033, 22119, 22204]"
72,"[2733, 1809, 2821, 1888, 2886, 21803, 21891, 21978, 22072, 52764, 52628, 62592, 63060, 62630, 81074, 81113, 93083, 245751, 250083]"
73,"[2845, 1918, 2904, 1997, 2966, 2078, 3033, 2147, 22078, 20447, 22166, 20536, 22273, 22385, 62770, 62831]"
74,"[2846, 1923, 2906, 2007, 2969, 2086, 2155, 22006, 22090, 22178, 22285, 62718, 63215, 62784, 63271, 81131, 93121, 93256]"
75,"[2047, 21955, 20296, 22041, 22124, 22209, 62686, 63169, 62739, 81150, 93101, 93231]"
76,"[2111, 2186, 2268, 2350, 22232, 23830, 22332, 20711, 20826, 20945, 21055, 62897, 62966, 63048]"
77,"[2118, 2200, 2275, 2354, 22231, 23829, 22330, 20703, 22435, 20821, 22537, 20937, 22636, 21046, 62950, 63026]"
78,"[2124, 2211, 2289, 20623, 20739, 20859, 62333, 62397, 62469, 81022, 80837]"
79,"[2174, 2255, 2335, 2419, 22227, 22326, 20700, 20820, 20938, 21048, 62954, 62502, 63033, 62578]"
80,"[2176, 2258, 2341, 22230, 23827, 20710, 20828, 20946, 21058, 62899, 62436, 62510]"
81,"[2237, 2319, 2397, 2475, 22306, 22404, 20914, 21018, 21138, 21234]"
82,"[3101, 2238, 3178, 2317, 3264, 2391, 3357, 2471, 3455, 25602, 23905, 25732, 24017, 24018, 24123, 22595, 22712, 22803, 22904]"
83,"[3160, 2307, 3247, 2380, 3342, 2459, 3436, 2520, 24006, 24115, 24230, 22700, 22787, 22892, 22988]"
84,"[2368, 2443, 2513, 24001, 22487, 24108, 22584, 24222, 22681, 21113, 22776, 21201, 21302, 21403]"
85,"[2423, 2496, 2561, 22566, 24200, 22663, 24316, 22835, 21265, 21357]"
86,"[2424, 3388, 2497, 3494, 2562, 24202, 24320, 22839, 21264, 22943, 21356]"
87,"[2592, 3550, 2671, 3637, 2754, 3723, 2840, 23370, 23450, 23533, 52955, 63597, 81573, 81603, 93441, 245470, 249741]"
